@relation caracteristicas

@attribute chromagram real
@attribute rms real
@attribute spectral_centroid real
@attribute spectral_bandwidth real
@attribute rolloff_frequency real
@attribute zero_crossing_rate real
@attribute mel_frequency_cepstral_coefficients_1 real
@attribute mel_frequency_cepstral_coefficients_2 real
@attribute mel_frequency_cepstral_coefficients_3 real
@attribute mel_frequency_cepstral_coefficients_4 real
@attribute mel_frequency_cepstral_coefficients_5 real
@attribute mel_frequency_cepstral_coefficients_6 real
@attribute mel_frequency_cepstral_coefficients_7 real
@attribute mel_frequency_cepstral_coefficients_8 real
@attribute mel_frequency_cepstral_coefficients_9 real
@attribute mel_frequency_cepstral_coefficients_10 real
@attribute mel_frequency_cepstral_coefficients_11 real
@attribute mel_frequency_cepstral_coefficients_12 real
@attribute mel_frequency_cepstral_coefficients_13 real
@attribute mel_frequency_cepstral_coefficients_14 real
@attribute mel_frequency_cepstral_coefficients_15 real
@attribute mel_frequency_cepstral_coefficients_16 real
@attribute mel_frequency_cepstral_coefficients_17 real
@attribute mel_frequency_cepstral_coefficients_18 real
@attribute mel_frequency_cepstral_coefficients_19 real
@attribute mel_frequency_cepstral_coefficients_20 real
@attribute label {cat, dog}

@data
0.4403892,0.05618043,2204.584617283618,1919.0369171511234,4554.897088203721,0.14802451097328245,-285.01974,88.70207,-27.933092,5.4199657,-30.354176,10.730832,-8.285243,-0.7678757,-5.8611073,-4.7064347,-9.919373,-9.070242,-0.28811854,-5.6077604,11.444672,-9.723986,2.6580703,4.736868,-1.3839862,3.0552573,cat
0.3367805,0.15800187,791.0352778296293,966.8422407276751,1242.6615767045455,0.03965731534090909,-311.80014,129.64035,-7.7350745,5.547671,-1.0701995,8.775261,1.7925361,-12.171799,-1.136243,-10.546208,-8.93519,3.2253883,3.6032424,13.865526,19.313997,11.285915,4.3545027,-3.7412713,1.0987065,8.152532,cat
0.5385911,0.21447219,1489.9610303518116,1618.8875950472006,2994.3021038385828,0.02437369279035433,-273.38947,86.42311,-48.816883,44.228485,-9.7084255,18.52907,-4.456664,8.476244,13.110809,1.8755859,10.168793,0.6697641,9.403863,-0.6784959,2.0261495,2.0259523,5.7785316,8.571425,11.739974,14.533407,cat
0.283674,0.1651207,1801.148173554191,1437.101049862594,3232.97119140625,0.09352394386574074,-172.5964,115.96177,-89.44023,1.2807487,-50.912197,11.974656,-18.399782,13.141333,3.4242163,-16.909407,-4.8687205,0.016540209,-1.9756964,-7.4100285,9.997188,2.180897,10.600456,-2.457323,2.8934133,-1.5508074,cat
0.28675923,0.15133554,1716.4062268774971,1302.4341273868138,2623.899580792683,0.1106492949695122,-195.89813,125.266754,-94.02988,-9.743139,-30.735575,14.791678,-29.216642,17.696726,-2.2088048,-3.4668126,1.7468846,-10.240409,-3.8686516,-14.457243,11.340582,2.1099596,9.3012,-0.37566534,0.2844864,-3.7183359,cat
0.4323606,0.14009811,2205.1641990971325,1408.5267453074555,3326.6172827743903,0.15819121570121952,-159.09415,102.32783,-129.58438,24.94558,-38.564407,18.850134,-34.123238,25.329144,-8.344105,0.29933882,2.372428,-19.118414,8.674149,-3.2063746,5.455308,-5.671512,10.42669,-3.550871,5.6778517,-0.48407677,cat
0.40935194,0.16538778,2596.732197864687,1524.065073343393,4289.834222560976,0.17917540015243902,-128.74533,82.08679,-130.70515,49.550373,-55.079357,27.934105,-26.932674,18.626137,-1.2297018,2.2758055,-2.2535932,-7.9295564,11.340951,-11.005636,2.6928542,-6.462108,11.936614,-8.4268055,6.773017,-3.8847694,cat
0.42195666,0.093889534,1419.8337122964438,1670.1788862200056,2920.2675267269738,0.06556960434941521,-292.9289,101.232796,-30.154308,32.09206,-6.6671443,30.45247,-9.3401785,19.816458,7.1815443,13.073911,14.059613,9.44805,18.802345,0.59391046,10.56299,-0.29398316,13.704564,2.019355,0.3633771,5.055558,cat
0.47863418,0.025519358,1873.7901481011293,1958.1407036133844,4275.548678901717,0.09170998549323017,-262.47067,127.69334,-28.549202,59.890102,-29.281897,36.80279,-9.577505,14.66028,-3.5177553,2.28841,-2.2170622,-3.7221704,10.374418,-4.775349,12.449579,-8.465803,4.3067865,-5.279749,3.48267,-2.9047377,cat
0.48501998,0.02269977,2008.1192710078858,1992.264237725466,4437.526680745285,0.10792337856624758,-263.491,127.642586,-32.35469,66.556564,-34.137676,39.81911,-13.025681,16.183525,-4.1619425,1.9811575,-2.0489845,-3.8309264,9.764698,-6.5674,12.005159,-9.016099,6.110308,-6.290074,4.2701173,-3.73949,cat
0.5795877,0.11049252,1709.3270731208709,2129.198117892924,4325.437564744475,0.07155073808701658,-252.22173,87.45249,10.460992,60.92193,-25.874107,48.90708,1.9159962,23.802982,6.438823,2.592973,15.862654,4.861698,14.977175,3.643469,7.1421504,-5.433858,9.3843155,2.6548684,10.059954,3.8793051,cat
0.4048801,0.09752757,1510.993041985923,1674.1123621726085,3113.328155757874,0.08268869955708662,-269.5244,102.50806,-22.593359,43.785572,-8.984057,31.561169,-8.020861,18.206617,-5.9891896,5.6818686,-0.26350924,-4.6890254,13.122365,9.222095,22.299282,-2.285544,1.3204153,-11.319685,5.3002167,6.4504848,cat
0.5653207,0.029304067,2491.822090732735,2124.5778615919075,5174.12109375,0.14620535714285715,-311.01404,87.79567,-29.423727,67.81304,-37.831894,51.623737,-11.589742,25.900377,-7.325055,4.883027,15.203227,2.2206514,13.213055,-6.0767207,14.154314,-5.722294,13.377088,2.9006457,5.6717386,-5.5602736,cat
0.58915275,0.18246385,1026.3670215781356,1595.5714517531906,2215.753860022189,0.03816972540680473,-191.73872,140.705,-7.4814186,51.480606,-2.3880847,32.483982,-7.4253116,25.330303,1.229086,9.224663,9.4529505,4.4363513,17.332743,-2.2490604,9.430751,-0.9921624,10.793625,-1.3684653,4.578661,2.1162581,cat
0.5137158,0.05873453,1639.380407127014,1703.9992110503529,3346.372221424686,0.08251103118955512,-301.35086,105.72803,-15.873585,50.623856,-1.6661209,25.555058,-4.134193,11.109911,7.144887,11.883746,11.692311,3.433222,5.4356303,-7.0924716,8.286343,1.2632977,6.041806,-5.4537964,0.99514055,10.110629,cat
0.60245013,0.04178291,1482.733482408401,1713.564774996469,3175.4852781534737,0.06783883826879271,-293.61957,116.504425,-11.952751,39.11831,-1.4408928,22.110155,-1.7620152,9.48453,6.2545114,7.5504613,7.056784,2.887874,8.647603,-4.2434783,5.937817,2.0433774,6.912363,-0.56451106,1.8028756,6.8779054,cat
0.4100016,0.1241896,1952.4746528268024,1958.8892400947032,4030.2978515625,0.11023530505952381,-200.6551,106.60671,-28.693453,35.663406,-12.562058,31.409641,-15.695004,19.792456,-2.3472338,19.270908,11.692597,4.2055516,3.2817502,-20.984074,7.5823708,-1.289138,9.801537,-10.255186,3.7501068,7.0305705,cat
0.3120802,0.11718139,1276.458216755559,1044.7311224565392,2084.343073918269,0.0843760731456044,-317.26492,134.06366,-60.775288,8.433113,-1.6318294,0.94614923,6.393939,12.630362,-3.9096556,-1.165706,-8.025506,-9.727774,12.041794,13.31613,20.939718,13.137429,12.095879,5.1913333,-6.3629723,-9.3857975,cat
0.74663645,0.087901436,915.3051837034234,1582.4069362242938,1848.9871463260135,0.006266590250965251,-335.28958,83.69499,-11.964599,43.13472,5.1287622,26.448174,11.428732,21.053307,6.0221896,10.123649,12.692327,4.0048513,11.458892,1.6502553,9.254845,2.4758477,8.830411,4.4717755,3.6659455,4.635772,cat
0.575197,0.043515112,1676.1090607896076,1909.1187879126783,3866.1054423053674,0.06506701825435203,-281.289,96.010956,-10.762138,37.811592,-5.342873,18.706985,0.80558723,13.020908,1.9612703,3.9102006,6.6810513,1.9151922,6.5819435,-1.6335217,8.391927,2.6194344,10.765868,6.5024724,7.3613906,4.1407905,cat
0.7080325,0.08355148,412.080969894281,691.2653570275967,662.9303180618791,0.01741159199089404,-392.86444,73.69896,40.5435,38.703293,25.955359,20.97987,13.379936,13.268501,12.374033,9.144062,11.980592,16.381311,18.132095,14.260301,10.63938,6.62808,5.718547,5.102545,3.8647408,3.077908,cat
0.5459292,0.032840032,1658.015321457433,1881.8130007062082,3842.239822594294,0.06809303977272728,-306.64722,106.18669,-14.051494,39.91502,-9.602514,21.669445,-0.5732914,13.2592325,-1.1421132,2.0819468,5.0419226,0.530283,7.276843,-3.1233716,8.344649,1.571739,11.112869,5.4958405,7.138295,3.917695,cat
0.71926856,0.045831326,1046.3773226739995,1655.8794657450144,2211.329838267544,0.030380040813840156,-392.0073,88.833244,14.322955,34.813034,8.499965,31.826708,13.764556,23.308403,2.335649,3.3779607,12.851583,5.903999,10.220676,7.49205,17.845436,7.712795,11.386209,7.6635337,4.3635035,4.4779744,cat
0.72572446,0.087262414,1064.24040343034,1563.7536566335832,1996.4028216422873,0.03485213672630561,-344.35608,71.84768,19.82098,31.290283,13.394909,25.602867,15.5768,20.485619,4.802669,4.317411,12.467225,8.61957,8.984979,10.3132,14.682001,6.9618235,11.030973,6.1418023,3.9145427,4.7719855,cat
